clc,lu,desc0,nbs_code,hazard,landscape_case
40,511,Water courses,NA-8,Erosion,Coastal
40,511,Water courses,WF-21,Drought,Coastal
40,511,Water courses,WF-21,Flood,Coastal
40,511,Water courses,WF-21,Other,Coastal
40,511,Water courses,NA-3,Other,Coastal
40,511,Water courses,WF-13,Other,Coastal
40,511,Water courses,CA-2,Drought,Coastal
40,511,Water courses,WF-10,Flood,Coastal
40,511,Water courses,ES-4,Other,Coastal
40,511,Water courses,NA-17,Erosion,Coastal
40,511,Water courses,NA-17,Flood,Coastal
40,511,Water courses,FRI-2,Other,Coastal
40,511,Water courses,FRI-2,Erosion,Coastal
40,511,Water courses,CA-1,Flood,Coastal
40,511,Water courses,FRI-2,Drought,Coastal
40,511,Water courses,ES-4,Fires,Coastal
40,511,Water courses,WF-3,Drought,Coastal
40,511,Water courses,WF-3,Flood,Coastal
40,511,Water courses,WF-3,Erosion,Coastal
40,511,Water courses,NA-1,Heat,Coastal
40,511,Water courses,NA-1,Drought,Coastal
40,511,Water courses,NA-17,Drought,Coastal
40,511,Water courses,NA-17,Heat,Coastal
40,511,Water courses,EF-1,Drought,Coastal
40,511,Water courses,ES-11,Erosion,Coastal
40,511,Water courses,EF-1,Flood,Coastal
40,511,Water courses,ES-11,Flood,Coastal
40,511,Water courses,EF-5,Erosion,Coastal
40,511,Water courses,EF-4,Other,Coastal
40,511,Water courses,NA-1,Flood,Coastal
40,511,Water courses,NA-1,Other,Coastal
41,512,Water bodies,ES-9,Other,Coastal
41,512,Water bodies,ES-7,Erosion,Coastal
41,512,Water bodies,ES-7,Flood,Coastal
41,512,Water bodies,WF-14,Other,Coastal
41,512,Water bodies,ES-2,Other,Coastal
41,512,Water bodies,ES-2,Erosion,Coastal
41,512,Water bodies,ES-14,Other,Coastal
41,512,Water bodies,ES-14,Erosion,Coastal
41,512,Water bodies,FRI-5,Sea level rise,Coastal
41,512,Water bodies,EF-1,Other,Coastal
41,512,Water bodies,EF-1,Erosion,Coastal
41,512,Water bodies,EF-1,Flood,Coastal
41,512,Water bodies,FRI-5,Drought,Coastal
41,512,Water bodies,FRI-5,Flood,Coastal
41,512,Water bodies,FRI-5,Erosion,Coastal
41,512,Water bodies,FRI-5,Other,Coastal
